host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,instant_bookable,reviews_per_month,gender,#amenities,first_review_year,last_review_year,host_since_year,shared_bathroom,review_scores_rating
"New York, NY",within an hour,> 99,(78 - 98],f,other,t,t,Midtown,Manhattan,Room in hotel,Private room,> 3,<= 1,<= 1,(1 - 2],<= 100,(1 - 12],<= 1,0,t,<= 0.15,unknown,(16 - 32],<= 2,<= 2,<= 6,0,5.0
"New York, NY",within an hour,> 99,> 98,t,Bushwick,t,t,Bushwick,Brooklyn,Entire loft,Entire home/apt,> 3,> 1,> 1,> 2,> 200,> 12,> 1,>1,t,> 0.73,female,> 32,<= 2,<= 2,<= 6,0,4.92
"New York, United States",within an hour,> 99,NA,f,Williamsburg,t,t,Williamsburg,Brooklyn,Private room in rental unit,Private room,<= 2,<= 1,<= 1,<= 1,(100 - 200],> 12,<= 1,0,t,> 0.73,unknown,> 32,(2 - 6],<= 2,<= 6,1,4.49
"New York, NY",within an hour,> 99,> 98,f,other,t,t,Lower East Side,Manhattan,Entire rental unit,Entire home/apt,<= 2,<= 1,<= 1,<= 1,(100 - 200],(1 - 12],> 1,1,f,(0.15 - 0.73],female,<= 16,<= 2,<= 2,> 9,0,4.8
"New York, NY",NA,NA,<= 78,f,Williamsburg,t,t,Williamsburg,Brooklyn,Entire rental unit,Entire home/apt,<= 2,<= 1,<= 1,<= 1,(100 - 200],> 12,<= 1,0,f,> 0.73,male,(16 - 32],> 6,<= 2,> 9,0,4.82
"New York, NY",within a day,<= 99,> 98,f,Bedford-Stuyvesant,t,t,Bedford-Stuyvesant,Brooklyn,Private room in rental unit,Private room,<= 2,> 1,<= 1,<= 1,(100 - 200],> 12,> 1,0,f,> 0.73,male,> 32,<= 2,<= 2,<= 6,1,4.89
"New York, NY",within an hour,> 99,(78 - 98],f,Upper East Side,t,t,Upper East Side,Manhattan,Entire rental unit,Entire home/apt,> 3,<= 1,> 1,> 2,(100 - 200],(1 - 12],> 1,1,f,(0.15 - 0.73],unknown,(16 - 32],<= 2,<= 2,> 9,0,4.5
"New York, NY",within an hour,<= 99,> 98,f,other,t,t,other,Manhattan,Room in hotel,Private room,<= 2,<= 1,<= 1,(1 - 2],> 200,(1 - 12],<= 1,0,t,(0.15 - 0.73],unknown,(16 - 32],<= 2,<= 2,(6 - 9],0,4.8
"New York, NY",NA,NA,NA,f,other,t,f,other,Brooklyn,Entire rental unit,Entire home/apt,(2 - 3],NA,> 1,NA,NA,(1 - 12],<= 1,0,f,<= 0.15,male,<= 16,> 6,> 2,> 9,0,5.0
other,within an hour,<= 99,(78 - 98],t,other,t,t,Hell's Kitchen,Manhattan,Entire rental unit,Entire home/apt,<= 2,<= 1,<= 1,<= 1,<= 100,(1 - 12],> 1,1,f,> 0.73,male,(16 - 32],<= 2,<= 2,(6 - 9],0,5.0
"New York, NY",NA,NA,NA,f,Crown Heights,t,t,Crown Heights,Brooklyn,Entire townhouse,Entire home/apt,> 3,NA,> 1,NA,NA,> 12,<= 1,0,f,> 0.73,male,> 32,> 6,<= 2,> 9,0,4.67
"New York, NY",NA,NA,NA,f,other,t,t,East Village,Manhattan,Entire condo,Entire home/apt,<= 2,NA,<= 1,NA,NA,> 12,<= 1,0,f,(0.15 - 0.73],male,> 32,(2 - 6],<= 2,> 9,0,5.0
"New York, NY",within an hour,<= 99,<= 78,f,Flatbush,t,t,Bushwick,Brooklyn,Private room in rental unit,Private room,<= 2,<= 1,> 1,<= 1,<= 100,<= 1,<= 1,0,f,<= 0.15,male,<= 16,<= 2,<= 2,> 9,1,5.0
"New York, NY",NA,NA,NA,f,Astoria,t,t,Long Island City,Queens,Entire rental unit,Entire home/apt,<= 2,NA,<= 1,NA,NA,(1 - 12],<= 1,0,f,<= 0.15,female,<= 16,> 6,> 2,(6 - 9],0,4.67
"New York, NY",NA,NA,> 98,f,other,t,t,Harlem,Manhattan,Private room in rental unit,Private room,<= 2,NA,NA,NA,NA,> 12,<= 1,0,f,(0.15 - 0.73],male,> 32,> 6,<= 2,> 9,0,4.92
