host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,instant_bookable,reviews_per_month,gender,#amenities,first_review_year,last_review_year,host_since_year,shared_bathroom,review_scores_rating
"New York, NY",within an hour,> 99,> 98,f,other,t,t,Midtown,Manhattan,Private room in rental unit,Private room,<= 2,<= 1,<= 1,<= 1,<= 100,(1 - 12],> 1,0,t,> 0.73,female,(16 - 32],<= 2,<= 2,<= 6,0,4.2
"New York, NY",NA,NA,NA,f,other,t,t,Williamsburg,Brooklyn,Private room in rental unit,Private room,<= 2,NA,NA,NA,NA,<= 1,<= 1,0,f,<= 0.15,male,> 32,<= 2,<= 2,<= 6,1,5.0
"New York, NY",within an hour,> 99,(78 - 98],t,other,t,t,Financial District,Manhattan,Room in hotel,Private room,> 3,<= 1,<= 1,(1 - 2],> 200,(1 - 12],> 1,0,f,(0.15 - 0.73],unknown,(16 - 32],<= 2,<= 2,<= 6,0,5.0
"New York, United States",within a day,<= 99,<= 78,f,Upper West Side,t,t,Upper West Side,Manhattan,Entire rental unit,Entire home/apt,> 3,> 1,> 1,<= 1,> 200,> 12,<= 1,0,f,(0.15 - 0.73],female,<= 16,> 6,<= 2,> 9,0,4.31
other,NA,NA,(78 - 98],t,other,t,t,other,Manhattan,Private room in rental unit,Private room,<= 2,<= 1,<= 1,<= 1,> 200,> 12,> 1,0,f,> 0.73,unknown,> 32,<= 2,<= 2,<= 6,0,4.9
"New York, NY",within an hour,> 99,> 98,f,Upper West Side,t,t,Upper West Side,Manhattan,Entire rental unit,Entire home/apt,(2 - 3],<= 1,<= 1,(1 - 2],(100 - 200],> 12,> 1,0,f,> 0.73,unknown,(16 - 32],> 6,<= 2,(6 - 9],0,4.94
"New York, United States",within a few hours,> 99,(78 - 98],t,Bedford-Stuyvesant,t,t,Bedford-Stuyvesant,Brooklyn,Entire rental unit,Entire home/apt,<= 2,<= 1,<= 1,<= 1,(100 - 200],(1 - 12],> 1,0,f,(0.15 - 0.73],unknown,> 32,(2 - 6],<= 2,<= 6,0,5.0
"New York, NY",within an hour,> 99,> 98,t,Flushing,t,f,other,Queens,Entire rental unit,Entire home/apt,> 3,<= 1,> 1,(1 - 2],(100 - 200],> 12,> 1,0,t,> 0.73,male,> 32,<= 2,<= 2,<= 6,0,4.81
"New York, NY",within an hour,<= 99,<= 78,f,other,t,f,other,Manhattan,Private room in rental unit,Private room,<= 2,<= 1,<= 1,<= 1,(100 - 200],(1 - 12],> 1,1,f,> 0.73,male,> 32,<= 2,<= 2,> 9,0,4.58
"New York, NY",within an hour,> 99,> 98,t,Flushing,t,t,other,Queens,Entire rental unit,Entire home/apt,<= 2,<= 1,<= 1,<= 1,(100 - 200],> 12,> 1,0,t,> 0.73,female,> 32,(2 - 6],<= 2,> 9,0,4.78
"New York, NY",within a few hours,> 99,> 98,t,Greenpoint,t,t,Greenpoint,Brooklyn,Entire rental unit,Entire home/apt,> 3,<= 1,> 1,> 2,> 200,> 12,> 1,0,f,> 0.73,unknown,> 32,(2 - 6],<= 2,> 9,0,5.0
"New York, NY",within a few hours,<= 99,<= 78,t,other,t,t,Midtown,Manhattan,Entire rental unit,Entire home/apt,> 3,<= 1,> 1,> 2,> 200,(1 - 12],<= 1,0,f,<= 0.15,unknown,> 32,(2 - 6],> 2,<= 6,0,5.0
"New York, NY",within a few hours,<= 99,<= 78,t,Bushwick,t,t,Bushwick,Brooklyn,Private room in rental unit,Private room,<= 2,<= 1,<= 1,<= 1,<= 100,<= 1,<= 1,0,f,(0.15 - 0.73],unknown,> 32,<= 2,<= 2,(6 - 9],1,5.0
other,within a day,<= 99,<= 78,f,Upper East Side,t,t,Upper East Side,Manhattan,Entire rental unit,Entire home/apt,> 3,<= 1,> 1,> 2,(100 - 200],(1 - 12],<= 1,0,f,<= 0.15,male,> 32,(2 - 6],> 2,<= 6,0,4.4
other,within an hour,> 99,> 98,f,other,t,t,Upper West Side,Manhattan,Entire rental unit,Entire home/apt,<= 2,<= 1,NA,<= 1,> 200,> 12,<= 1,0,f,(0.15 - 0.73],male,(16 - 32],(2 - 6],<= 2,> 9,0,5.0
"New York, NY",within a few hours,> 99,<= 78,t,Bushwick,t,t,Bushwick,Brooklyn,Entire rental unit,Entire home/apt,> 3,<= 1,<= 1,(1 - 2],(100 - 200],> 12,> 1,0,f,> 0.73,unknown,> 32,<= 2,<= 2,> 9,0,5.0
"New York, NY",within a few hours,<= 99,> 98,f,Park Slope,t,t,other,Brooklyn,Entire rental unit,Entire home/apt,<= 2,<= 1,<= 1,<= 1,> 200,(1 - 12],<= 1,0,t,<= 0.15,unknown,<= 16,<= 2,<= 2,<= 6,0,4.5
"New York, NY",within a few hours,> 99,(78 - 98],f,Upper West Side,t,t,Upper West Side,Manhattan,Entire rental unit,Entire home/apt,(2 - 3],<= 1,> 1,(1 - 2],(100 - 200],> 12,> 1,1,f,> 0.73,male,(16 - 32],> 6,<= 2,> 9,0,4.75
"New York, NY",within an hour,<= 99,<= 78,f,other,t,f,other,Manhattan,Private room in rental unit,Private room,<= 2,<= 1,<= 1,<= 1,(100 - 200],<= 1,<= 1,1,f,> 0.73,male,> 32,<= 2,<= 2,> 9,0,5.0
"New York, NY",within a few hours,> 99,<= 78,t,Williamsburg,t,t,Williamsburg,Brooklyn,other,Private room,<= 2,<= 1,<= 1,<= 1,> 200,> 12,> 1,1,f,> 0.73,female,> 32,> 6,<= 2,> 9,1,4.97
"New York, NY",within a few hours,> 99,> 98,t,Upper West Side,t,t,Upper West Side,Manhattan,Private room in townhouse,Private room,<= 2,> 1,> 1,> 2,> 200,> 12,> 1,1,f,> 0.73,female,> 32,> 6,<= 2,(6 - 9],0,4.99
other,within an hour,<= 99,(78 - 98],t,Hell's Kitchen,t,t,Hell's Kitchen,Manhattan,other,Private room,<= 2,<= 1,<= 1,<= 1,> 200,(1 - 12],> 1,>1,t,<= 0.15,unknown,(16 - 32],(2 - 6],<= 2,<= 6,0,4.43
"New York, NY",NA,NA,NA,t,other,t,t,Bedford-Stuyvesant,Brooklyn,Entire condo,Entire home/apt,<= 2,<= 1,<= 1,<= 1,(100 - 200],> 12,> 1,0,f,> 0.73,female,> 32,<= 2,<= 2,> 9,0,4.91
"New York, NY",NA,NA,<= 78,f,other,t,t,other,Brooklyn,Entire home,Entire home/apt,> 3,<= 1,<= 1,<= 1,(100 - 200],> 12,<= 1,0,f,> 0.73,male,(16 - 32],> 6,<= 2,> 9,0,4.32
"New York, NY",within an hour,> 99,> 98,f,other,t,t,Midtown,Manhattan,Private room in rental unit,Private room,(2 - 3],<= 1,<= 1,(1 - 2],<= 100,<= 1,<= 1,0,t,(0.15 - 0.73],female,(16 - 32],<= 2,<= 2,<= 6,0,2.0
"New York, NY",within an hour,> 99,> 98,f,other,t,t,Midtown,Manhattan,Private room in rental unit,Private room,<= 2,<= 1,<= 1,<= 1,<= 100,(1 - 12],> 1,0,t,> 0.73,female,(16 - 32],<= 2,<= 2,<= 6,1,4.58
"New York, NY",within an hour,> 99,(78 - 98],t,other,t,t,Financial District,Manhattan,Room in hotel,Private room,<= 2,<= 1,<= 1,<= 1,> 200,> 12,> 1,>1,f,> 0.73,unknown,(16 - 32],<= 2,<= 2,<= 6,0,4.76
other,within a few hours,> 99,<= 78,f,Harlem,t,t,Harlem,Manhattan,Entire rental unit,Entire home/apt,> 3,> 1,> 1,> 2,> 200,(1 - 12],<= 1,0,f,<= 0.15,female,> 32,(2 - 6],<= 2,> 9,0,3.67
"New York, NY",within an hour,> 99,<= 78,f,other,t,t,Kips Bay,Manhattan,Entire rental unit,Entire home/apt,> 3,> 1,> 1,> 2,> 200,<= 1,<= 1,0,f,<= 0.15,female,> 32,<= 2,<= 2,(6 - 9],0,5.0
other,within a few hours,> 99,<= 78,f,other,t,t,Midtown,Manhattan,Room in hotel,Private room,<= 2,<= 1,<= 1,<= 1,> 200,> 12,<= 1,0,f,(0.15 - 0.73],male,(16 - 32],(2 - 6],<= 2,(6 - 9],0,5.0
other,within an hour,> 99,> 98,t,other,t,t,East Village,Manhattan,Private room in rental unit,Private room,<= 2,<= 1,<= 1,<= 1,(100 - 200],> 12,> 1,1,f,> 0.73,male,(16 - 32],<= 2,<= 2,<= 6,0,4.83
other,within an hour,> 99,> 98,t,Bedford-Stuyvesant,t,t,Bedford-Stuyvesant,Brooklyn,Entire rental unit,Entire home/apt,> 3,<= 1,> 1,(1 - 2],(100 - 200],(1 - 12],<= 1,0,f,(0.15 - 0.73],female,> 32,(2 - 6],<= 2,<= 6,0,5.0
"New York, NY",a few days or more,<= 99,<= 78,f,Williamsburg,t,t,Williamsburg,Brooklyn,Entire rental unit,Entire home/apt,> 3,> 1,> 1,(1 - 2],> 200,> 12,> 1,0,f,(0.15 - 0.73],female,(16 - 32],(2 - 6],<= 2,> 9,0,4.89
other,within a few hours,> 99,<= 78,f,Williamsburg,t,t,Williamsburg,Brooklyn,Private room in condo,Private room,<= 2,> 1,> 1,(1 - 2],<= 100,> 12,> 1,0,f,(0.15 - 0.73],male,(16 - 32],(2 - 6],<= 2,(6 - 9],1,5.0
"New York, NY",within a day,> 99,> 98,t,other,t,t,other,Brooklyn,Entire loft,Entire home/apt,<= 2,> 1,<= 1,<= 1,> 200,(1 - 12],> 1,0,f,<= 0.15,unknown,> 32,(2 - 6],<= 2,> 9,0,5.0
"New York, NY",within a day,<= 99,<= 78,f,other,t,t,other,Brooklyn,Private room in rental unit,Private room,<= 2,<= 1,<= 1,<= 1,<= 100,(1 - 12],> 1,0,f,(0.15 - 0.73],male,<= 16,<= 2,<= 2,(6 - 9],0,5.0
"New York, NY",within a few hours,> 99,> 98,t,other,t,t,other,Brooklyn,Entire rental unit,Entire home/apt,<= 2,<= 1,<= 1,(1 - 2],(100 - 200],> 12,> 1,0,f,> 0.73,female,(16 - 32],> 6,<= 2,> 9,0,4.87
"New York, NY",within an hour,> 99,(78 - 98],t,Long Island City,t,t,other,Bronx,Entire rental unit,Entire home/apt,<= 2,<= 1,<= 1,<= 1,<= 100,(1 - 12],> 1,0,f,(0.15 - 0.73],male,<= 16,<= 2,<= 2,<= 6,0,4.67
"New York, NY",within an hour,> 99,> 98,f,other,t,t,other,Queens,Entire condo,Entire home/apt,> 3,> 1,> 1,(1 - 2],> 200,> 12,<= 1,0,f,(0.15 - 0.73],unknown,(16 - 32],(2 - 6],> 2,<= 6,0,5.0
"New York, NY",NA,NA,NA,f,Harlem,t,f,Harlem,Manhattan,Private room in rental unit,Private room,<= 2,NA,NA,NA,NA,> 12,<= 1,0,f,> 0.73,male,> 32,(2 - 6],> 2,(6 - 9],1,4.69
"New York, NY",within a few hours,> 99,<= 78,t,other,t,t,Bedford-Stuyvesant,Brooklyn,Entire rental unit,Entire home/apt,<= 2,<= 1,<= 1,<= 1,(100 - 200],<= 1,<= 1,0,f,<= 0.15,unknown,> 32,(2 - 6],> 2,> 9,0,5.0
"New York, NY",within a few hours,> 99,(78 - 98],f,other,t,t,Bedford-Stuyvesant,Brooklyn,Entire home,Entire home/apt,<= 2,<= 1,<= 1,<= 1,(100 - 200],> 12,> 1,>1,f,> 0.73,female,(16 - 32],> 6,<= 2,> 9,0,4.48
"New York, NY",within an hour,<= 99,> 98,t,other,t,t,Financial District,Manhattan,Entire loft,Entire home/apt,> 3,<= 1,> 1,(1 - 2],> 200,> 12,<= 1,0,f,(0.15 - 0.73],male,(16 - 32],> 6,<= 2,> 9,0,4.97
"New York, United States",within a day,<= 99,<= 78,f,Upper West Side,t,t,Upper West Side,Manhattan,Entire rental unit,Entire home/apt,> 3,> 1,> 1,(1 - 2],> 200,(1 - 12],<= 1,0,f,<= 0.15,female,(16 - 32],> 6,> 2,> 9,0,4.82
"New York, NY",within an hour,<= 99,> 98,t,Upper West Side,t,t,Upper West Side,Manhattan,Private room in townhouse,Private room,<= 2,<= 1,<= 1,<= 1,(100 - 200],> 12,> 1,>1,t,> 0.73,female,> 32,> 6,<= 2,(6 - 9],0,4.91
"New York, NY",within an hour,> 99,> 98,f,other,t,t,Midtown,Manhattan,Private room in rental unit,Private room,(2 - 3],<= 1,<= 1,(1 - 2],<= 100,(1 - 12],> 1,1,t,> 0.73,female,(16 - 32],<= 2,<= 2,<= 6,0,4.42
other,NA,NA,<= 78,f,other,t,t,other,Manhattan,Entire rental unit,Entire home/apt,> 3,<= 1,<= 1,<= 1,> 200,(1 - 12],> 1,0,t,(0.15 - 0.73],male,(16 - 32],<= 2,<= 2,<= 6,0,2.0
"New York, NY",within an hour,> 99,<= 78,f,Williamsburg,t,t,Williamsburg,Brooklyn,Entire rental unit,Entire home/apt,<= 2,<= 1,<= 1,<= 1,(100 - 200],> 12,<= 1,0,f,> 0.73,unknown,> 32,(2 - 6],<= 2,(6 - 9],0,4.68
other,within a few hours,> 99,<= 78,f,Harlem,t,t,Harlem,Manhattan,Entire rental unit,Entire home/apt,> 3,<= 1,<= 1,> 2,(100 - 200],(1 - 12],<= 1,0,f,<= 0.15,female,> 32,> 6,<= 2,> 9,0,3.43
"New York, NY",within an hour,> 99,> 98,t,other,t,t,Murray Hill,Manhattan,Entire townhouse,Entire home/apt,(2 - 3],<= 1,> 1,> 2,> 200,> 12,<= 1,0,t,> 0.73,unknown,> 32,(2 - 6],<= 2,<= 6,0,4.9
other,within an hour,> 99,NA,f,other,t,f,West Village,Manhattan,Entire loft,Entire home/apt,<= 2,<= 1,<= 1,<= 1,(100 - 200],(1 - 12],<= 1,0,f,<= 0.15,male,(16 - 32],(2 - 6],> 2,> 9,0,5.0
"New York, NY",within an hour,> 99,<= 78,f,other,t,t,Murray Hill,Manhattan,Entire rental unit,Entire home/apt,<= 2,<= 1,<= 1,<= 1,> 200,(1 - 12],<= 1,0,f,<= 0.15,unknown,> 32,(2 - 6],<= 2,<= 6,0,5.0
"New York, NY",within an hour,> 99,> 98,f,other,t,t,Midtown,Manhattan,Private room in rental unit,Private room,> 3,<= 1,<= 1,> 2,(100 - 200],> 12,> 1,0,t,> 0.73,female,> 32,<= 2,<= 2,<= 6,0,4.15
other,within an hour,> 99,> 98,f,other,t,t,other,Manhattan,Entire loft,Entire home/apt,<= 2,<= 1,<= 1,<= 1,> 200,> 12,> 1,>1,t,> 0.73,unknown,(16 - 32],<= 2,<= 2,<= 6,0,4.54
other,within an hour,> 99,> 98,f,other,t,t,Financial District,Manhattan,Entire rental unit,Entire home/apt,<= 2,<= 1,<= 1,<= 1,> 200,(1 - 12],> 1,1,t,> 0.73,unknown,<= 16,<= 2,<= 2,<= 6,0,3.33
"New York, NY",within a few hours,> 99,> 98,t,Greenpoint,t,f,Greenpoint,Brooklyn,Entire rental unit,Entire home/apt,<= 2,<= 1,<= 1,<= 1,(100 - 200],> 12,> 1,0,f,(0.15 - 0.73],female,> 32,> 6,<= 2,(6 - 9],0,4.97
"New York, NY",within an hour,> 99,> 98,f,other,t,t,Midtown,Manhattan,Private room in rental unit,Private room,<= 2,> 1,<= 1,<= 1,<= 100,(1 - 12],> 1,0,t,> 0.73,female,> 32,<= 2,<= 2,<= 6,0,4.5
"New York, NY",within an hour,> 99,> 98,t,Williamsburg,t,f,Williamsburg,Brooklyn,Private room in home,Private room,<= 2,> 1,<= 1,<= 1,<= 100,> 12,> 1,1,t,(0.15 - 0.73],male,> 32,> 6,<= 2,(6 - 9],1,4.46
"New York, NY",within an hour,> 99,(78 - 98],t,other,t,t,Upper West Side,Manhattan,Private room in rental unit,Private room,<= 2,<= 1,<= 1,<= 1,> 200,> 12,> 1,0,f,> 0.73,female,> 32,<= 2,<= 2,<= 6,1,4.88
other,NA,NA,(78 - 98],t,Greenpoint,t,f,Greenpoint,Brooklyn,Entire condo,Entire home/apt,<= 2,<= 1,<= 1,<= 1,(100 - 200],> 12,> 1,1,f,> 0.73,female,(16 - 32],(2 - 6],<= 2,(6 - 9],0,4.95
"New York, NY",within an hour,> 99,> 98,f,other,t,t,Midtown,Manhattan,Private room in rental unit,Private room,> 3,<= 1,<= 1,> 2,(100 - 200],> 12,> 1,>1,t,> 0.73,female,(16 - 32],<= 2,<= 2,<= 6,0,4.67
"New York, NY",NA,NA,NA,f,other,t,t,Harlem,Manhattan,Entire rental unit,Entire home/apt,> 3,<= 1,> 1,(1 - 2],> 200,(1 - 12],> 1,0,f,(0.15 - 0.73],male,> 32,<= 2,<= 2,<= 6,0,4.67
"New York, NY",within a few hours,<= 99,(78 - 98],f,other,t,t,Lower East Side,Manhattan,other,Entire home/apt,<= 2,<= 1,<= 1,<= 1,> 200,> 12,> 1,0,f,> 0.73,female,(16 - 32],(2 - 6],<= 2,(6 - 9],0,4.78
"New York, NY",NA,NA,> 98,f,Williamsburg,t,t,Williamsburg,Brooklyn,Entire rental unit,Entire home/apt,<= 2,> 1,> 1,(1 - 2],> 200,> 12,<= 1,0,f,(0.15 - 0.73],male,(16 - 32],(2 - 6],<= 2,> 9,0,4.96
"New York, United States",within an hour,> 99,(78 - 98],f,Williamsburg,t,t,Williamsburg,Brooklyn,Entire rental unit,Entire home/apt,<= 2,<= 1,> 1,<= 1,> 200,(1 - 12],> 1,0,f,(0.15 - 0.73],female,(16 - 32],<= 2,<= 2,<= 6,0,4.83
other,within a few hours,> 99,(78 - 98],t,other,t,t,Kips Bay,Manhattan,Entire condo,Entire home/apt,<= 2,> 1,<= 1,<= 1,> 200,> 12,> 1,0,f,(0.15 - 0.73],female,> 32,(2 - 6],<= 2,(6 - 9],0,4.91
"New York, NY",within an hour,> 99,> 98,f,other,t,t,Midtown,Manhattan,Private room in rental unit,Private room,> 3,<= 1,<= 1,> 2,(100 - 200],(1 - 12],> 1,>1,t,> 0.73,female,(16 - 32],<= 2,<= 2,<= 6,0,4.67
"New York, NY",within an hour,> 99,(78 - 98],t,other,t,t,other,Brooklyn,Private room in rental unit,Private room,<= 2,<= 1,<= 1,<= 1,(100 - 200],> 12,> 1,1,f,> 0.73,male,> 32,> 6,<= 2,> 9,1,4.83
"New York, NY",within a few hours,> 99,<= 78,t,Greenpoint,t,t,Greenpoint,Brooklyn,Entire rental unit,Entire home/apt,<= 2,<= 1,<= 1,<= 1,> 200,<= 1,<= 1,0,f,<= 0.15,male,<= 16,<= 2,<= 2,<= 6,0,5.0
"New York, NY",within an hour,> 99,(78 - 98],t,Chelsea,t,t,Chelsea,Manhattan,Entire loft,Entire home/apt,<= 2,<= 1,<= 1,<= 1,> 200,> 12,> 1,1,t,> 0.73,male,(16 - 32],(2 - 6],<= 2,> 9,0,4.85
other,within an hour,<= 99,(78 - 98],t,other,t,t,other,Manhattan,Entire rental unit,Entire home/apt,<= 2,<= 1,<= 1,<= 1,<= 100,<= 1,<= 1,0,f,(0.15 - 0.73],male,(16 - 32],<= 2,<= 2,(6 - 9],0,5.0
"New York, NY",within a few hours,> 99,<= 78,,Bushwick,t,t,Bushwick,Brooklyn,Private room in rental unit,Private room,<= 2,<= 1,<= 1,<= 1,<= 100,> 12,> 1,0,f,(0.15 - 0.73],male,> 32,> 6,<= 2,> 9,1,4.81
"New York, NY",within an hour,> 99,(78 - 98],t,other,t,t,Bedford-Stuyvesant,Brooklyn,Entire home,Entire home/apt,<= 2,<= 1,<= 1,<= 1,(100 - 200],> 12,> 1,>1,f,> 0.73,female,> 32,<= 2,<= 2,> 9,0,4.86
"New York, NY",within a few hours,<= 99,<= 78,t,Bushwick,t,t,East Flatbush,Brooklyn,Private room in rental unit,Private room,<= 2,<= 1,<= 1,<= 1,<= 100,(1 - 12],<= 1,0,f,(0.15 - 0.73],unknown,> 32,(2 - 6],<= 2,(6 - 9],1,4.83
"New York, NY",within an hour,> 99,> 98,t,Bedford-Stuyvesant,t,t,Bedford-Stuyvesant,Brooklyn,other,Entire home/apt,<= 2,<= 1,<= 1,(1 - 2],> 200,> 12,> 1,>1,t,> 0.73,male,> 32,> 6,<= 2,> 9,0,4.92
"New York, NY",within an hour,> 99,> 98,f,Upper West Side,t,t,Upper West Side,Manhattan,Entire rental unit,Entire home/apt,(2 - 3],<= 1,<= 1,(1 - 2],(100 - 200],> 12,> 1,1,t,> 0.73,male,(16 - 32],(2 - 6],<= 2,<= 6,0,4.89
"New York, NY",within an hour,> 99,(78 - 98],t,other,t,t,Financial District,Manhattan,Room in hotel,Private room,<= 2,<= 1,<= 1,(1 - 2],> 200,(1 - 12],> 1,0,f,(0.15 - 0.73],unknown,(16 - 32],<= 2,<= 2,<= 6,0,5.0
other,within an hour,> 99,> 98,f,other,t,f,other,Manhattan,Private room in rental unit,Private room,<= 2,<= 1,<= 1,<= 1,<= 100,> 12,<= 1,1,f,> 0.73,unknown,> 32,> 6,<= 2,(6 - 9],1,4.97
other,within an hour,> 99,(78 - 98],t,other,t,t,Williamsburg,Brooklyn,Entire rental unit,Entire home/apt,> 3,<= 1,> 1,(1 - 2],> 200,> 12,> 1,0,f,> 0.73,male,(16 - 32],(2 - 6],<= 2,> 9,0,4.82
other,NA,NA,> 98,t,Bedford-Stuyvesant,t,t,Bedford-Stuyvesant,Brooklyn,Entire rental unit,Entire home/apt,<= 2,<= 1,<= 1,(1 - 2],(100 - 200],> 12,> 1,0,t,> 0.73,female,> 32,<= 2,<= 2,<= 6,0,4.93
"New York, NY",NA,NA,> 98,t,other,t,t,other,Manhattan,Entire rental unit,Entire home/apt,(2 - 3],<= 1,<= 1,<= 1,(100 - 200],(1 - 12],> 1,1,f,(0.15 - 0.73],female,(16 - 32],<= 2,<= 2,> 9,0,5.0
"New York, NY",within an hour,> 99,> 98,f,other,t,t,Midtown,Manhattan,Private room in rental unit,Private room,> 3,<= 1,<= 1,(1 - 2],<= 100,> 12,> 1,0,t,> 0.73,female,> 32,<= 2,<= 2,<= 6,1,4.26
other,NA,NA,NA,f,Bedford-Stuyvesant,t,f,Bedford-Stuyvesant,Brooklyn,Entire rental unit,Entire home/apt,> 3,<= 1,> 1,(1 - 2],> 200,> 12,<= 1,0,f,(0.15 - 0.73],female,> 32,<= 2,<= 2,<= 6,0,4.82
"New York, NY",NA,NA,NA,f,Bushwick,t,t,Bushwick,Brooklyn,Private room in rental unit,Private room,<= 2,<= 1,<= 1,<= 1,(100 - 200],(1 - 12],<= 1,0,f,<= 0.15,female,<= 16,> 6,> 2,(6 - 9],1,5.0
"New York, NY",within a few hours,> 99,<= 78,f,other,t,t,Upper East Side,Manhattan,Entire condo,Entire home/apt,<= 2,<= 1,<= 1,<= 1,(100 - 200],(1 - 12],<= 1,0,f,<= 0.15,male,(16 - 32],<= 2,<= 2,<= 6,0,5.0
"New York, United States",within a day,<= 99,<= 78,f,Upper West Side,t,t,Upper West Side,Manhattan,Entire rental unit,Entire home/apt,<= 2,<= 1,<= 1,<= 1,<= 100,(1 - 12],> 1,0,f,(0.15 - 0.73],female,> 32,(2 - 6],<= 2,> 9,0,4.17
"New York, NY",within an hour,> 99,> 98,t,Upper West Side,t,t,Upper West Side,Manhattan,Private room in rental unit,Private room,<= 2,<= 1,<= 1,<= 1,(100 - 200],> 12,> 1,0,f,> 0.73,unknown,(16 - 32],> 6,<= 2,(6 - 9],1,4.9
"New York, NY",within an hour,> 99,> 98,t,Bedford-Stuyvesant,t,t,Bedford-Stuyvesant,Brooklyn,Private room in townhouse,Private room,<= 2,<= 1,<= 1,<= 1,(100 - 200],> 12,> 1,1,f,> 0.73,male,> 32,> 6,<= 2,> 9,1,4.88
"New York, NY",within an hour,> 99,> 98,t,other,t,t,Bedford-Stuyvesant,Brooklyn,Private room in condo,Private room,<= 2,<= 1,<= 1,<= 1,(100 - 200],> 12,> 1,1,f,> 0.73,unknown,> 32,<= 2,<= 2,(6 - 9],0,4.79
"New York, NY",within a few hours,> 99,> 98,t,other,t,t,East Village,Manhattan,Private room in condo,Private room,<= 2,<= 1,<= 1,(1 - 2],(100 - 200],> 12,> 1,>1,f,> 0.73,male,> 32,> 6,<= 2,(6 - 9],0,4.85
"New York, NY",within a day,<= 99,(78 - 98],f,Williamsburg,t,t,Williamsburg,Brooklyn,Private room in townhouse,Private room,<= 2,> 1,<= 1,<= 1,<= 100,> 12,<= 1,0,f,> 0.73,female,> 32,(2 - 6],<= 2,> 9,1,4.33
"New York, NY",within an hour,> 99,(78 - 98],t,other,t,t,Bedford-Stuyvesant,Brooklyn,Entire rental unit,Entire home/apt,<= 2,<= 1,<= 1,<= 1,(100 - 200],> 12,> 1,0,f,> 0.73,female,> 32,(2 - 6],<= 2,(6 - 9],0,4.99
other,within an hour,> 99,<= 78,f,other,t,t,Upper West Side,Manhattan,Entire rental unit,Entire home/apt,> 3,<= 1,<= 1,<= 1,> 200,(1 - 12],<= 1,0,f,<= 0.15,male,> 32,<= 2,<= 2,<= 6,0,4.33
"New York, NY",within a few hours,> 99,> 98,f,other,t,t,West Village,Manhattan,Entire rental unit,Entire home/apt,<= 2,<= 1,> 1,<= 1,(100 - 200],(1 - 12],<= 1,0,f,<= 0.15,unknown,<= 16,<= 2,<= 2,> 9,0,4.5
other,within an hour,> 99,(78 - 98],f,Bedford-Stuyvesant,t,t,Bedford-Stuyvesant,Brooklyn,Private room in condo,Private room,<= 2,> 1,<= 1,<= 1,<= 100,(1 - 12],<= 1,0,f,(0.15 - 0.73],unknown,> 32,(2 - 6],<= 2,<= 6,1,4.5
"New York, NY",within a few hours,> 99,(78 - 98],f,Jamaica,t,t,other,Queens,Private room in home,Private room,<= 2,NA,NA,NA,NA,> 12,> 1,0,f,> 0.73,female,> 32,<= 2,<= 2,<= 6,1,4.93
"New York, NY",within an hour,> 99,(78 - 98],f,Cambridge,t,t,Kips Bay,Manhattan,Entire rental unit,Entire home/apt,<= 2,<= 1,<= 1,<= 1,> 200,<= 1,<= 1,0,t,(0.15 - 0.73],unknown,> 32,<= 2,<= 2,(6 - 9],0,5.0
"New York, NY",within an hour,> 99,(78 - 98],,Bushwick,t,t,Bushwick,Brooklyn,Private room in rental unit,Private room,<= 2,> 1,> 1,<= 1,<= 100,> 12,> 1,0,f,(0.15 - 0.73],female,(16 - 32],(2 - 6],<= 2,> 9,0,4.64
other,within a day,> 99,(78 - 98],f,other,t,t,Upper West Side,Manhattan,Room in hotel,Hotel room,<= 2,<= 1,<= 1,<= 1,> 200,(1 - 12],<= 1,0,t,<= 0.15,unknown,(16 - 32],(2 - 6],<= 2,<= 6,0,5.0
"New York, United States",within a day,<= 99,(78 - 98],t,other,t,t,Chelsea,Manhattan,Entire rental unit,Entire home/apt,<= 2,<= 1,<= 1,NA,(100 - 200],(1 - 12],<= 1,0,f,(0.15 - 0.73],unknown,(16 - 32],(2 - 6],<= 2,> 9,0,5.0
"New York, NY",within an hour,> 99,> 98,t,Chelsea,t,t,Chelsea,Manhattan,Private room in rental unit,Private room,<= 2,<= 1,<= 1,<= 1,> 200,(1 - 12],> 1,>1,f,> 0.73,male,> 32,<= 2,<= 2,> 9,1,5.0
other,within a day,> 99,NA,f,Williamsburg,t,f,Williamsburg,Brooklyn,Entire condo,Entire home/apt,<= 2,<= 1,<= 1,<= 1,> 200,<= 1,<= 1,0,f,<= 0.15,female,(16 - 32],<= 2,<= 2,<= 6,0,5.0
"New York, NY",within a day,<= 99,> 98,t,other,t,t,West Village,Manhattan,Entire rental unit,Entire home/apt,(2 - 3],<= 1,<= 1,<= 1,(100 - 200],> 12,> 1,0,f,> 0.73,male,(16 - 32],> 6,<= 2,> 9,0,4.86
"New York, NY",within an hour,> 99,> 98,t,other,t,t,Murray Hill,Manhattan,Entire townhouse,Entire home/apt,(2 - 3],<= 1,<= 1,> 2,> 200,> 12,<= 1,0,t,> 0.73,unknown,> 32,(2 - 6],<= 2,<= 6,0,4.99
