host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_identity_verified,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,instant_bookable,reviews_per_month,#amenities,first_review_year,last_review_year,host_since_year,shared_bathroom,review_scores_rating
within a few hours,>99.0,(78.0-98.0],t,other,t,Brooklyn,Private room in townhouse,Private room,<=2.0,<=1.0,<=1.0,<=1.0,(100.0-200.0],>12.0,>1.0,1,f,>0.73,>32.0,<=2.0,<=2.0,(6.0-9.0],0,5.0
within an hour,>99.0,NA,f,Bushwick,t,Brooklyn,Entire townhouse,Entire home/apt,>3.0,NA,>1.0,NA,NA,>12.0,<=1.0,0,f,>0.73,>32.0,(2.0-6.0],<=2.0,>9.0,0,4.93
NA,NA,NA,f,other,f,Brooklyn,Entire rental unit,Entire home/apt,>3.0,NA,>1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,5.0
NA,NA,NA,f,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,>1.0,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],1,5.0
NA,NA,NA,f,other,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,>1.0,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,1,5.0
NA,NA,NA,f,Crown Heights,t,Brooklyn,Entire rental unit,Entire home/apt,<=2.0,NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,(0.15-0.73],(16.0-32.0],(2.0-6.0],<=2.0,>9.0,0,4.55
NA,NA,NA,f,Flatbush,t,Brooklyn,Entire rental unit,Entire home/apt,<=2.0,NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,5.0
NA,NA,NA,f,Williamsburg,t,Brooklyn,Private room in rental unit,Private room,>3.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,(16.0-32.0],>6.0,>2.0,>9.0,1,5.0
within an hour,>99.0,>98.0,f,other,t,Manhattan,Entire rental unit,Entire home/apt,>3.0,<=1.0,<=1.0,>2.0,>200.0,>12.0,>1.0,>1,f,>0.73,(16.0-32.0],(2.0-6.0],<=2.0,<=6.0,0,4.43
NA,NA,NA,f,Bedford-Stuyvesant,t,Brooklyn,Entire home,Entire home/apt,>3.0,NA,>1.0,NA,NA,>12.0,<=1.0,0,f,(0.15-0.73],(16.0-32.0],>6.0,>2.0,(6.0-9.0],0,4.75
