host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_identity_verified,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,instant_bookable,reviews_per_month,#amenities,first_review_year,last_review_year,host_since_year,shared_bathroom,review_scores_rating
NA,NA,NA,f,other,f,Manhattan,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,(0.15-0.73],<=16.0,<=2.0,<=2.0,(6.0-9.0],1,4.57
NA,NA,NA,f,Jamaica,t,Queens,Entire home,Entire home/apt,>3.0,NA,>1.0,NA,NA,>12.0,<=1.0,0,f,>0.73,>32.0,<=2.0,<=2.0,<=6.0,0,4.85
within an hour,>99.0,(78.0-98.0],t,other,t,Brooklyn,Entire rental unit,Entire home/apt,>3.0,<=1.0,<=1.0,(1.0-2.0],>200.0,>12.0,>1.0,>1,f,>0.73,>32.0,<=2.0,<=2.0,(6.0-9.0],0,4.95
within an hour,<=99.0,>98.0,t,other,t,Manhattan,Room in hotel,Private room,<=2.0,NA,<=1.0,NA,NA,(1.0-12.0],>1.0,0,t,(0.15-0.73],(16.0-32.0],<=2.0,<=2.0,<=6.0,0,5.0
within an hour,>99.0,(78.0-98.0],f,other,t,Manhattan,Entire rental unit,Entire home/apt,>3.0,<=1.0,>1.0,>2.0,(100.0-200.0],(1.0-12.0],<=1.0,0,f,<=0.15,(16.0-32.0],>6.0,<=2.0,>9.0,0,4.5
within an hour,>99.0,>98.0,f,other,t,Queens,Private room in townhouse,Private room,<=2.0,NA,<=1.0,NA,NA,(1.0-12.0],>1.0,>1,t,>0.73,<=16.0,<=2.0,<=2.0,<=6.0,0,5.0
NA,NA,NA,f,Park Slope,t,Brooklyn,Entire rental unit,Entire home/apt,(2.0-3.0],NA,>1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,(16.0-32.0],>6.0,>2.0,>9.0,0,5.0
NA,NA,NA,f,Bushwick,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,(16.0-32.0],(2.0-6.0],>2.0,>9.0,1,5.0
NA,NA,NA,f,other,t,Manhattan,Entire rental unit,Entire home/apt,>3.0,NA,>1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,5.0
within an hour,<=99.0,>98.0,,other,t,Brooklyn,Entire rental unit,Entire home/apt,>3.0,<=1.0,>1.0,>2.0,(100.0-200.0],>12.0,>1.0,0,f,>0.73,>32.0,<=2.0,<=2.0,<=6.0,0,4.96
NA,NA,NA,f,other,t,Brooklyn,Entire rental unit,Entire home/apt,<=2.0,NA,NA,NA,NA,>12.0,<=1.0,0,f,(0.15-0.73],<=16.0,>6.0,>2.0,>9.0,0,4.95
NA,NA,NA,f,Upper East Side,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,NA,NA,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,5.0
NA,NA,NA,f,Williamsburg,t,Brooklyn,Entire rental unit,Entire home/apt,(2.0-3.0],NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,4.67
within an hour,>99.0,>98.0,f,Flushing,t,Queens,other,Entire home/apt,>3.0,<=1.0,<=1.0,(1.0-2.0],<=100.0,<=1.0,<=1.0,0,t,(0.15-0.73],>32.0,<=2.0,<=2.0,<=6.0,0,5.0
within a few hours,<=99.0,<=78.0,f,Jamaica,t,Queens,Private room in home,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,(1.0-12.0],>1.0,0,f,(0.15-0.73],(16.0-32.0],<=2.0,<=2.0,>9.0,1,5.0
within an hour,>99.0,<=78.0,f,other,f,Bronx,Entire rental unit,Entire home/apt,>3.0,<=1.0,<=1.0,(1.0-2.0],<=100.0,(1.0-12.0],>1.0,1,f,(0.15-0.73],(16.0-32.0],<=2.0,<=2.0,(6.0-9.0],0,4.75
NA,NA,NA,f,other,t,Queens,Entire rental unit,Entire home/apt,(2.0-3.0],<=1.0,<=1.0,<=1.0,(100.0-200.0],(1.0-12.0],>1.0,1,f,(0.15-0.73],>32.0,<=2.0,<=2.0,<=6.0,0,5.0
NA,NA,NA,f,Upper East Side,t,Manhattan,Entire home,Entire home/apt,>3.0,NA,>1.0,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,4.0
within an hour,>99.0,>98.0,f,other,t,Manhattan,Entire rental unit,Entire home/apt,>3.0,<=1.0,<=1.0,>2.0,>200.0,>12.0,>1.0,>1,t,>0.73,>32.0,<=2.0,<=2.0,<=6.0,0,4.76
NA,NA,NA,f,other,t,Brooklyn,Entire rental unit,Entire home/apt,<=2.0,NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,4.5
NA,NA,NA,f,other,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,4.5
NA,NA,NA,f,Williamsburg,t,Brooklyn,Entire rental unit,Entire home/apt,<=2.0,NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,5.0
NA,NA,NA,f,other,f,Manhattan,Entire rental unit,Entire home/apt,>3.0,NA,>1.0,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,5.0
NA,NA,NA,f,Park Slope,t,Brooklyn,Entire rental unit,Entire home/apt,<=2.0,NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,4.8
within an hour,>99.0,>98.0,f,other,t,Queens,Entire rental unit,Entire home/apt,>3.0,<=1.0,>1.0,>2.0,(100.0-200.0],>12.0,<=1.0,0,f,>0.73,(16.0-32.0],>6.0,<=2.0,(6.0-9.0],0,4.99
within an hour,>99.0,(78.0-98.0],f,other,t,Queens,Entire rental unit,Entire home/apt,<=2.0,<=1.0,<=1.0,(1.0-2.0],<=100.0,>12.0,>1.0,0,f,>0.73,(16.0-32.0],(2.0-6.0],<=2.0,(6.0-9.0],0,4.72
NA,NA,NA,f,other,f,Brooklyn,Entire rental unit,Entire home/apt,<=2.0,NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,4.86
within an hour,>99.0,>98.0,f,Flushing,f,Queens,other,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,>12.0,>1.0,0,f,>0.73,(16.0-32.0],<=2.0,<=2.0,<=6.0,1,4.59
within an hour,>99.0,(78.0-98.0],f,other,f,Bronx,Private room in home,Private room,<=2.0,>1.0,<=1.0,<=1.0,<=100.0,(1.0-12.0],>1.0,1,f,(0.15-0.73],>32.0,<=2.0,<=2.0,(6.0-9.0],1,4.25
within a few hours,>99.0,>98.0,f,Jamaica,t,Queens,Private room in home,Private room,>3.0,<=1.0,>1.0,(1.0-2.0],>200.0,>12.0,<=1.0,0,t,(0.15-0.73],>32.0,(2.0-6.0],<=2.0,<=6.0,0,4.96
NA,NA,NA,f,other,t,Queens,Private room in home,Private room,<=2.0,<=1.0,<=1.0,<=1.0,>200.0,(1.0-12.0],<=1.0,0,f,<=0.15,(16.0-32.0],<=2.0,<=2.0,(6.0-9.0],1,5.0
NA,NA,NA,f,Bedford-Stuyvesant,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,4.5
NA,NA,NA,f,Jamaica,t,Queens,Private room in home,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,(1.0-12.0],>1.0,0,t,(0.15-0.73],>32.0,<=2.0,<=2.0,<=6.0,0,4.75
within a few hours,>99.0,>98.0,t,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,>1.0,>1.0,<=1.0,<=100.0,(1.0-12.0],>1.0,0,f,(0.15-0.73],>32.0,<=2.0,<=2.0,(6.0-9.0],1,5.0
within an hour,>99.0,(78.0-98.0],f,Bedford-Stuyvesant,t,Brooklyn,Entire rental unit,Entire home/apt,(2.0-3.0],<=1.0,<=1.0,(1.0-2.0],<=100.0,>12.0,>1.0,0,f,>0.73,>32.0,<=2.0,<=2.0,>9.0,0,4.78
within an hour,>99.0,(78.0-98.0],f,Crown Heights,t,Brooklyn,Private room in townhouse,Private room,<=2.0,>1.0,<=1.0,<=1.0,<=100.0,>12.0,>1.0,0,f,>0.73,(16.0-32.0],<=2.0,<=2.0,(6.0-9.0],1,4.7
a few days or more,<=99.0,<=78.0,f,other,t,Staten Island,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,(1.0-2.0],<=100.0,(1.0-12.0],<=1.0,0,f,<=0.15,(16.0-32.0],(2.0-6.0],>2.0,<=6.0,1,4.67
a few days or more,<=99.0,<=78.0,f,Hell's Kitchen,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,<=1.0,<=1.0,<=1.0,>200.0,(1.0-12.0],<=1.0,0,f,<=0.15,(16.0-32.0],<=2.0,<=2.0,<=6.0,0,4.5
within a day,>99.0,<=78.0,,other,t,Brooklyn,other,Entire home/apt,(2.0-3.0],<=1.0,<=1.0,(1.0-2.0],(100.0-200.0],>12.0,<=1.0,0,t,>0.73,>32.0,<=2.0,<=2.0,<=6.0,0,4.86
within a day,>99.0,NA,f,other,t,Queens,other,Entire home/apt,>3.0,<=1.0,>1.0,(1.0-2.0],(100.0-200.0],(1.0-12.0],<=1.0,0,f,<=0.15,>32.0,(2.0-6.0],>2.0,<=6.0,0,5.0
NA,NA,>98.0,f,other,t,Manhattan,Entire rental unit,Entire home/apt,>3.0,<=1.0,<=1.0,<=1.0,>200.0,>12.0,<=1.0,0,t,(0.15-0.73],<=16.0,(2.0-6.0],<=2.0,(6.0-9.0],0,4.73
NA,NA,NA,f,Upper West Side,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,4.0
NA,NA,NA,f,Williamsburg,t,Brooklyn,Private room in rental unit,Private room,(2.0-3.0],NA,NA,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,5.0
a few days or more,<=99.0,<=78.0,f,Upper West Side,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,<=2.0,>9.0,0,4.33
NA,NA,NA,f,other,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,1,4.75
within an hour,>99.0,(78.0-98.0],f,other,t,Bronx,other,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,>12.0,<=1.0,0,f,>0.73,>32.0,<=2.0,<=2.0,<=6.0,1,4.27
within a few hours,<=99.0,<=78.0,f,other,t,Brooklyn,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,<=1.0,<=1.0,0,f,<=0.15,<=16.0,<=2.0,<=2.0,<=6.0,1,4.0
NA,NA,NA,f,other,t,Brooklyn,Entire rental unit,Entire home/apt,<=2.0,<=1.0,<=1.0,(1.0-2.0],(100.0-200.0],(1.0-12.0],<=1.0,0,f,(0.15-0.73],>32.0,<=2.0,<=2.0,<=6.0,0,3.4
within an hour,>99.0,NA,f,other,t,Brooklyn,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,(1.0-12.0],<=1.0,0,f,(0.15-0.73],<=16.0,<=2.0,<=2.0,>9.0,0,5.0
within a few hours,>99.0,NA,f,Crown Heights,t,Brooklyn,Private room in rental unit,Private room,(2.0-3.0],<=1.0,<=1.0,(1.0-2.0],<=100.0,>12.0,<=1.0,0,f,(0.15-0.73],(16.0-32.0],>6.0,<=2.0,>9.0,1,4.73
NA,NA,NA,f,Jamaica,t,Queens,Entire home,Entire home/apt,<=2.0,<=1.0,>1.0,(1.0-2.0],(100.0-200.0],(1.0-12.0],<=1.0,0,t,(0.15-0.73],(16.0-32.0],<=2.0,<=2.0,<=6.0,0,3.75
within an hour,>99.0,(78.0-98.0],t,other,t,Brooklyn,Private room in home,Private room,>3.0,>1.0,>1.0,>2.0,>200.0,>12.0,>1.0,>1,f,>0.73,>32.0,>6.0,<=2.0,(6.0-9.0],0,4.98
NA,NA,NA,f,other,f,Brooklyn,Entire condo,Entire home/apt,(2.0-3.0],NA,>1.0,NA,NA,>12.0,<=1.0,0,f,<=0.15,(16.0-32.0],>6.0,<=2.0,(6.0-9.0],0,4.94
within an hour,>99.0,(78.0-98.0],f,Jamaica,t,Queens,other,Entire home/apt,>3.0,>1.0,>1.0,>2.0,(100.0-200.0],>12.0,>1.0,>1,f,>0.73,>32.0,(2.0-6.0],<=2.0,(6.0-9.0],0,4.69
within an hour,>99.0,(78.0-98.0],f,other,t,Queens,Private room in condo,Private room,<=2.0,<=1.0,<=1.0,(1.0-2.0],<=100.0,>12.0,>1.0,0,f,>0.73,>32.0,>6.0,<=2.0,>9.0,0,4.87
within an hour,>99.0,>98.0,f,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,>12.0,>1.0,0,f,>0.73,(16.0-32.0],<=2.0,<=2.0,<=6.0,1,4.65
within an hour,>99.0,<=78.0,t,other,t,Brooklyn,Entire rental unit,Entire home/apt,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,(1.0-12.0],<=1.0,0,f,(0.15-0.73],>32.0,<=2.0,<=2.0,(6.0-9.0],0,5.0
within an hour,>99.0,>98.0,f,other,t,Brooklyn,Private room in home,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,(1.0-12.0],>1.0,0,f,(0.15-0.73],>32.0,<=2.0,<=2.0,<=6.0,1,5.0
within a day,>99.0,<=78.0,t,other,t,Brooklyn,Private room in rental unit,Private room,>3.0,<=1.0,<=1.0,<=1.0,<=100.0,>12.0,>1.0,0,f,>0.73,>32.0,<=2.0,<=2.0,<=6.0,1,4.97
NA,NA,NA,f,other,t,Bronx,Entire rental unit,Entire home/apt,>3.0,<=1.0,>1.0,(1.0-2.0],>200.0,>12.0,<=1.0,0,t,(0.15-0.73],(16.0-32.0],<=2.0,<=2.0,<=6.0,0,4.81
within an hour,>99.0,>98.0,t,other,t,Brooklyn,Private room in condo,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,(1.0-12.0],<=1.0,0,f,(0.15-0.73],>32.0,(2.0-6.0],<=2.0,<=6.0,1,4.91
within an hour,>99.0,>98.0,f,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,>12.0,<=1.0,0,t,>0.73,>32.0,>6.0,<=2.0,>9.0,1,4.73
within an hour,>99.0,>98.0,f,Elmhurst,f,Queens,Private room in home,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,>12.0,<=1.0,0,f,>0.73,(16.0-32.0],(2.0-6.0],<=2.0,(6.0-9.0],1,4.89
a few days or more,<=99.0,>98.0,f,Jamaica,t,Queens,Entire home,Entire home/apt,>3.0,<=1.0,>1.0,>2.0,(100.0-200.0],>12.0,<=1.0,0,t,>0.73,>32.0,<=2.0,<=2.0,<=6.0,0,4.5
NA,NA,>98.0,f,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,(1.0-12.0],<=1.0,0,f,<=0.15,>32.0,<=2.0,<=2.0,(6.0-9.0],1,3.0
within an hour,>99.0,>98.0,f,Jamaica,t,Queens,Private room in home,Private room,<=2.0,<=1.0,<=1.0,<=1.0,(100.0-200.0],(1.0-12.0],>1.0,>1,f,>0.73,>32.0,<=2.0,<=2.0,<=6.0,0,5.0
NA,NA,NA,f,Jamaica,t,Queens,Entire rental unit,Entire home/apt,>3.0,>1.0,>1.0,(1.0-2.0],>200.0,>12.0,<=1.0,0,f,(0.15-0.73],>32.0,<=2.0,<=2.0,<=6.0,0,4.38
within a few hours,>99.0,>98.0,f,other,t,Brooklyn,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,(1.0-12.0],<=1.0,0,f,<=0.15,(16.0-32.0],>6.0,>2.0,>9.0,1,5.0
NA,NA,NA,f,other,f,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,5.0
within a day,>99.0,NA,t,other,t,Staten Island,Private room in condo,Private room,<=2.0,>1.0,>1.0,>2.0,>200.0,>12.0,>1.0,0,f,>0.73,>32.0,>6.0,<=2.0,(6.0-9.0],0,4.87
within an hour,>99.0,>98.0,t,other,t,Queens,other,Entire home/apt,<=2.0,<=1.0,<=1.0,<=1.0,(100.0-200.0],>12.0,>1.0,>1,t,>0.73,>32.0,<=2.0,<=2.0,<=6.0,0,4.93
within a few hours,>99.0,>98.0,f,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,(1.0-12.0],<=1.0,0,f,(0.15-0.73],>32.0,<=2.0,<=2.0,<=6.0,1,5.0
within an hour,>99.0,>98.0,f,Crown Heights,t,Brooklyn,Entire rental unit,Entire home/apt,>3.0,>1.0,>1.0,(1.0-2.0],(100.0-200.0],(1.0-12.0],>1.0,0,f,(0.15-0.73],(16.0-32.0],<=2.0,<=2.0,<=6.0,0,4.83
within an hour,>99.0,>98.0,f,other,t,Brooklyn,Entire rental unit,Entire home/apt,>3.0,<=1.0,<=1.0,(1.0-2.0],(100.0-200.0],(1.0-12.0],>1.0,0,t,(0.15-0.73],(16.0-32.0],<=2.0,<=2.0,<=6.0,0,4.8
NA,NA,NA,f,Astoria,t,Queens,Entire rental unit,Entire home/apt,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,5.0
within an hour,>99.0,NA,t,other,f,Brooklyn,Entire home,Entire home/apt,>3.0,>1.0,>1.0,>2.0,>200.0,>12.0,<=1.0,0,f,>0.73,>32.0,<=2.0,<=2.0,<=6.0,0,4.87
within an hour,>99.0,(78.0-98.0],t,Flushing,t,Queens,Entire condo,Entire home/apt,>3.0,<=1.0,<=1.0,<=1.0,(100.0-200.0],>12.0,>1.0,0,f,>0.73,>32.0,(2.0-6.0],<=2.0,<=6.0,0,4.97
within a day,>99.0,>98.0,f,Jamaica,t,Queens,other,Entire home/apt,<=2.0,<=1.0,<=1.0,(1.0-2.0],(100.0-200.0],(1.0-12.0],<=1.0,0,f,(0.15-0.73],<=16.0,<=2.0,<=2.0,(6.0-9.0],0,4.25
within an hour,>99.0,(78.0-98.0],t,Crown Heights,t,Brooklyn,Private room in townhouse,Private room,<=2.0,<=1.0,>1.0,(1.0-2.0],(100.0-200.0],>12.0,>1.0,>1,f,>0.73,(16.0-32.0],(2.0-6.0],<=2.0,>9.0,0,4.96
within an hour,>99.0,>98.0,t,other,t,Brooklyn,Entire home,Entire home/apt,>3.0,<=1.0,>1.0,>2.0,(100.0-200.0],>12.0,>1.0,0,f,>0.73,>32.0,<=2.0,<=2.0,(6.0-9.0],0,4.76
within a few hours,>99.0,>98.0,t,other,t,Queens,Private room in townhouse,Private room,<=2.0,<=1.0,<=1.0,(1.0-2.0],>200.0,>12.0,>1.0,>1,f,>0.73,>32.0,>6.0,<=2.0,(6.0-9.0],0,5.0
within a few hours,<=99.0,>98.0,f,other,t,Brooklyn,Private room in townhouse,Private room,<=2.0,<=1.0,<=1.0,<=1.0,(100.0-200.0],(1.0-12.0],>1.0,0,f,>0.73,>32.0,<=2.0,<=2.0,<=6.0,0,4.57
within an hour,>99.0,>98.0,t,other,f,Brooklyn,Private room in home,Private room,<=2.0,<=1.0,>1.0,>2.0,(100.0-200.0],(1.0-12.0],>1.0,0,t,(0.15-0.73],>32.0,<=2.0,<=2.0,<=6.0,1,4.9
within an hour,>99.0,<=78.0,t,other,t,Brooklyn,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,>12.0,>1.0,0,f,(0.15-0.73],>32.0,>6.0,<=2.0,>9.0,1,4.94
within an hour,>99.0,>98.0,f,other,t,Brooklyn,Entire rental unit,Entire home/apt,<=2.0,<=1.0,>1.0,<=1.0,<=100.0,>12.0,>1.0,0,f,>0.73,>32.0,(2.0-6.0],<=2.0,<=6.0,0,4.76
within an hour,>99.0,>98.0,t,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,>12.0,<=1.0,0,f,>0.73,(16.0-32.0],>6.0,<=2.0,(6.0-9.0],1,4.95
NA,NA,NA,f,other,f,Queens,Entire home,Entire home/apt,>3.0,<=1.0,<=1.0,(1.0-2.0],(100.0-200.0],(1.0-12.0],<=1.0,0,f,<=0.15,(16.0-32.0],<=2.0,<=2.0,<=6.0,0,5.0
within an hour,>99.0,(78.0-98.0],f,Bedford-Stuyvesant,t,Brooklyn,Private room in condo,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,(1.0-12.0],>1.0,0,f,(0.15-0.73],>32.0,<=2.0,<=2.0,<=6.0,1,5.0
within an hour,>99.0,>98.0,t,other,t,Brooklyn,Entire home,Entire home/apt,>3.0,<=1.0,<=1.0,>2.0,(100.0-200.0],(1.0-12.0],>1.0,0,t,(0.15-0.73],(16.0-32.0],<=2.0,<=2.0,<=6.0,0,5.0
within a day,<=99.0,<=78.0,f,Flushing,t,Queens,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,>12.0,>1.0,0,f,>0.73,(16.0-32.0],<=2.0,<=2.0,<=6.0,1,4.38
within a few hours,<=99.0,(78.0-98.0],f,Elmhurst,t,Manhattan,Private room in townhouse,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,<=1.0,<=1.0,0,f,<=0.15,<=16.0,<=2.0,<=2.0,<=6.0,1,5.0
NA,NA,>98.0,f,other,f,Brooklyn,other,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,<=1.0,<=1.0,0,f,<=0.15,<=16.0,<=2.0,<=2.0,<=6.0,0,5.0
within an hour,>99.0,>98.0,f,Harlem,t,Manhattan,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,(1.0-12.0],>1.0,0,f,(0.15-0.73],(16.0-32.0],(2.0-6.0],<=2.0,>9.0,1,4.56
within a few hours,>99.0,(78.0-98.0],f,Jamaica,t,Queens,Private room in rental unit,Private room,<=2.0,>1.0,<=1.0,<=1.0,<=100.0,>12.0,>1.0,0,f,>0.73,(16.0-32.0],<=2.0,<=2.0,<=6.0,1,4.45
within a few hours,>99.0,NA,f,other,f,Staten Island,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,(1.0-12.0],<=1.0,0,f,<=0.15,(16.0-32.0],<=2.0,<=2.0,<=6.0,0,4.5
within an hour,>99.0,>98.0,t,other,t,Brooklyn,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,(1.0-2.0],<=100.0,(1.0-12.0],<=1.0,0,f,<=0.15,>32.0,<=2.0,<=2.0,>9.0,0,5.0
within a day,>99.0,<=78.0,f,Flushing,t,Queens,Entire rental unit,Entire home/apt,>3.0,<=1.0,<=1.0,<=1.0,<=100.0,<=1.0,<=1.0,0,f,(0.15-0.73],<=16.0,<=2.0,<=2.0,<=6.0,0,5.0
within a day,>99.0,NA,t,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,(1.0-2.0],>200.0,>12.0,<=1.0,0,f,(0.15-0.73],>32.0,>6.0,<=2.0,>9.0,0,4.57
within a few hours,<=99.0,<=78.0,f,other,t,Queens,Private room in townhouse,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,<=1.0,<=1.0,0,f,<=0.15,<=16.0,(2.0-6.0],>2.0,<=6.0,1,4.0
within a few hours,>99.0,<=78.0,t,Astoria,t,Queens,Private room in home,Private room,<=2.0,<=1.0,<=1.0,>2.0,(100.0-200.0],<=1.0,<=1.0,0,f,<=0.15,>32.0,<=2.0,<=2.0,>9.0,1,5.0
within a few hours,>99.0,<=78.0,f,other,t,Staten Island,Private room in home,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,>12.0,<=1.0,0,f,(0.15-0.73],(16.0-32.0],>6.0,<=2.0,>9.0,1,4.86
within an hour,<=99.0,<=78.0,t,Harlem,t,Queens,Private room in townhouse,Private room,<=2.0,>1.0,<=1.0,<=1.0,<=100.0,(1.0-12.0],>1.0,0,f,<=0.15,(16.0-32.0],(2.0-6.0],<=2.0,(6.0-9.0],1,4.83
within a few hours,<=99.0,(78.0-98.0],f,Elmhurst,t,Manhattan,Private room in townhouse,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,<=1.0,<=1.0,0,f,>0.73,<=16.0,<=2.0,<=2.0,<=6.0,1,5.0
within a few hours,>99.0,<=78.0,t,other,t,Queens,Entire townhouse,Entire home/apt,>3.0,<=1.0,>1.0,>2.0,>200.0,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,4.33
within an hour,>99.0,>98.0,t,other,t,Brooklyn,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,>12.0,>1.0,0,f,(0.15-0.73],(16.0-32.0],>6.0,<=2.0,>9.0,1,4.94
within an hour,>99.0,>98.0,f,Bushwick,t,Brooklyn,Entire rental unit,Entire home/apt,>3.0,<=1.0,<=1.0,<=1.0,(100.0-200.0],(1.0-12.0],<=1.0,0,t,(0.15-0.73],>32.0,<=2.0,<=2.0,(6.0-9.0],0,5.0
within an hour,>99.0,>98.0,t,other,t,Brooklyn,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,>12.0,>1.0,0,f,(0.15-0.73],>32.0,>6.0,<=2.0,(6.0-9.0],1,4.94
within a few hours,>99.0,<=78.0,t,other,t,Queens,other,Entire home/apt,>3.0,<=1.0,<=1.0,(1.0-2.0],(100.0-200.0],<=1.0,<=1.0,0,f,<=0.15,(16.0-32.0],<=2.0,<=2.0,(6.0-9.0],0,4.0
within an hour,>99.0,<=78.0,t,other,t,Brooklyn,Entire rental unit,Entire home/apt,>3.0,<=1.0,<=1.0,>2.0,<=100.0,(1.0-12.0],<=1.0,0,f,<=0.15,>32.0,>6.0,>2.0,>9.0,0,5.0
within an hour,<=99.0,<=78.0,f,Flatbush,t,Brooklyn,Private room in rental unit,Private room,<=2.0,>1.0,<=1.0,<=1.0,<=100.0,(1.0-12.0],<=1.0,0,f,<=0.15,(16.0-32.0],(2.0-6.0],>2.0,>9.0,1,5.0
within an hour,>99.0,>98.0,t,other,t,Brooklyn,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,>12.0,>1.0,0,f,(0.15-0.73],(16.0-32.0],>6.0,<=2.0,>9.0,1,4.94
