host_name,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_identity_verified,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,instant_bookable,reviews_per_month,#amenities,first_review_year,last_review_year,host_since_year,shared_bathroom,review_scores_rating
Menachem,within an hour,>99.0,>98.0,t,other,t,Manhattan,Entire loft,Entire home/apt,(2.0-3.0],<=1.0,<=1.0,<=1.0,>200.0,>12.0,>1.0,>1,t,>0.73,>32.0,<=2.0,<=2.0,<=6.0,0,4.85
Marie,NA,NA,NA,f,Bushwick,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,t,<=0.15,<=16.0,(2.0-6.0],>2.0,>9.0,0,4.8
Shogo,within a few hours,<=99.0,(78.0-98.0],f,Elmhurst,t,Queens,Private room in home,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,(2.0-6.0],>2.0,<=6.0,1,5.0
Josh,NA,NA,NA,f,other,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,(2.0-6.0],>2.0,<=6.0,0,4.67
Mitch,NA,NA,NA,f,Bushwick,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,<=1.0,<=1.0,0,t,<=0.15,<=16.0,(2.0-6.0],>2.0,(6.0-9.0],0,5.0
JohnP,NA,NA,NA,f,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,>12.0,<=1.0,0,f,>0.73,(16.0-32.0],(2.0-6.0],>2.0,<=6.0,1,4.52
Momoyo,within a few hours,<=99.0,<=78.0,f,other,t,Queens,Private room in townhouse,Private room,<=2.0,NA,NA,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,<=2.0,<=2.0,<=6.0,1,4.0
Johnny,NA,NA,NA,f,Williamsburg,t,Brooklyn,Entire rental unit,Entire home/apt,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,(2.0-6.0],>2.0,(6.0-9.0],0,4.0
The Ridge,within a day,<=99.0,>98.0,f,other,t,Manhattan,other,Private room,<=2.0,<=1.0,<=1.0,(1.0-2.0],>200.0,>12.0,>1.0,>1,t,>0.73,(16.0-32.0],(2.0-6.0],<=2.0,<=6.0,0,4.51
Jack,NA,NA,NA,f,other,t,Brooklyn,Entire townhouse,Entire home/apt,>3.0,NA,>1.0,NA,NA,(1.0-12.0],<=1.0,0,f,(0.15-0.73],(16.0-32.0],(2.0-6.0],>2.0,(6.0-9.0],0,5.0
Julia,NA,NA,NA,f,other,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,>12.0,<=1.0,0,f,(0.15-0.73],(16.0-32.0],(2.0-6.0],>2.0,(6.0-9.0],1,4.85
JohnP,NA,NA,NA,f,other,t,Manhattan,Entire rental unit,Entire home/apt,>3.0,NA,>1.0,NA,NA,>12.0,<=1.0,0,f,>0.73,(16.0-32.0],(2.0-6.0],>2.0,<=6.0,0,4.6
Maritza,NA,NA,>98.0,f,other,t,Manhattan,Entire rental unit,Entire home/apt,(2.0-3.0],NA,<=1.0,NA,NA,>12.0,>1.0,0,t,>0.73,>32.0,(2.0-6.0],<=2.0,<=6.0,0,4.6
Rony,NA,NA,NA,f,Bushwick,t,Brooklyn,Private room in townhouse,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,>32.0,(2.0-6.0],>2.0,>9.0,1,4.67
Sherry,within an hour,>99.0,>98.0,f,Flushing,t,Queens,Private room in rental unit,Private room,<=2.0,>1.0,<=1.0,<=1.0,<=100.0,>12.0,>1.0,0,f,>0.73,>32.0,<=2.0,<=2.0,<=6.0,0,4.56
Sharon,within an hour,>99.0,>98.0,t,Jamaica,t,Queens,Private room in home,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,>12.0,>1.0,>1,f,>0.73,>32.0,(2.0-6.0],<=2.0,<=6.0,0,4.85
