host_name,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_identity_verified,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,instant_bookable,reviews_per_month,#amenities,first_review_year,last_review_year,host_since_year,shared_bathroom,review_scores_rating
June,within a few hours,>99.0,>98.0,f,Long Island City,t,Queens,Entire loft,Entire home/apt,<=2.0,NA,NA,NA,NA,>12.0,>1.0,0,f,>0.73,(16.0-32.0],>6.0,<=2.0,(6.0-9.0],0,4.88
Chris,NA,NA,NA,f,other,f,Brooklyn,Entire rental unit,Entire home/apt,<=2.0,NA,<=1.0,NA,NA,>12.0,>1.0,0,f,>0.73,>32.0,<=2.0,<=2.0,<=6.0,0,4.91
Lena,NA,NA,NA,f,Hell's Kitchen,t,Manhattan,Entire rental unit,Entire home/apt,>3.0,NA,<=1.0,NA,NA,>12.0,<=1.0,0,f,(0.15-0.73],(16.0-32.0],>6.0,>2.0,(6.0-9.0],0,4.85
Jessica,NA,NA,NA,f,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,>12.0,<=1.0,0,f,(0.15-0.73],<=16.0,>6.0,>2.0,(6.0-9.0],0,4.87
Rove,within an hour,<=99.0,(78.0-98.0],t,Williamsburg,t,Manhattan,Entire rental unit,Entire home/apt,>3.0,>1.0,>1.0,>2.0,>200.0,(1.0-12.0],<=1.0,0,f,<=0.15,>32.0,<=2.0,<=2.0,>9.0,0,5.0
Serena,NA,NA,NA,f,Chelsea,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,>12.0,<=1.0,0,f,(0.15-0.73],(16.0-32.0],>6.0,>2.0,>9.0,1,5.0
Yulia,within a few hours,>99.0,>98.0,f,Flatbush,t,Brooklyn,Entire rental unit,Entire home/apt,<=2.0,NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,(0.15-0.73],>32.0,(2.0-6.0],<=2.0,(6.0-9.0],0,4.82
Jenna,NA,NA,NA,f,other,f,Manhattan,Private room in rental unit,Private room,<=2.0,NA,<=1.0,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],1,5.0
Kimberly,NA,NA,NA,f,other,f,Manhattan,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,>12.0,<=1.0,0,f,>0.73,>32.0,(2.0-6.0],<=2.0,(6.0-9.0],1,4.92
Peter,NA,NA,NA,f,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,4.25
Remi,NA,NA,NA,f,Crown Heights,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,<=1.0,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],1,5.0
Ina,NA,NA,NA,f,other,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,>1.0,NA,NA,>12.0,<=1.0,0,f,(0.15-0.73],<=16.0,>6.0,>2.0,(6.0-9.0],1,4.73
Susan,NA,NA,NA,f,Williamsburg,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,t,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],1,5.0
Fred,NA,NA,NA,f,Bedford-Stuyvesant,f,Brooklyn,Private room in home,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,4.71
LuxQuarters,within an hour,>99.0,(78.0-98.0],t,other,t,Manhattan,Entire rental unit,Entire home/apt,>3.0,>1.0,>1.0,(1.0-2.0],>200.0,(1.0-12.0],>1.0,>1,f,>0.73,>32.0,<=2.0,<=2.0,<=6.0,0,5.0
Ike,within an hour,>99.0,>98.0,t,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,>1.0,NA,NA,>12.0,>1.0,0,t,>0.73,>32.0,(2.0-6.0],<=2.0,(6.0-9.0],0,4.93
Kari,NA,NA,<=78.0,t,other,t,Brooklyn,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,>200.0,>12.0,>1.0,0,f,>0.73,>32.0,<=2.0,<=2.0,>9.0,1,5.0
Ian,NA,NA,NA,f,Bedford-Stuyvesant,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,4.67
Bluebird,within an hour,<=99.0,(78.0-98.0],f,Hell's Kitchen,t,Manhattan,other,Entire home/apt,(2.0-3.0],NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,t,<=0.15,>32.0,(2.0-6.0],<=2.0,(6.0-9.0],0,4.67
Natasha,NA,NA,NA,f,other,f,Manhattan,Entire rental unit,Entire home/apt,>3.0,NA,>1.0,NA,NA,>12.0,<=1.0,0,f,>0.73,(16.0-32.0],>6.0,>2.0,(6.0-9.0],0,4.49
Ashley,NA,NA,NA,f,Williamsburg,t,Brooklyn,Entire rental unit,Entire home/apt,<=2.0,NA,>1.0,NA,NA,(1.0-12.0],<=1.0,0,f,(0.15-0.73],<=16.0,<=2.0,<=2.0,(6.0-9.0],0,5.0
Andrea,within a few hours,>99.0,>98.0,t,Bushwick,t,Brooklyn,other,Entire home/apt,<=2.0,<=1.0,>1.0,(1.0-2.0],(100.0-200.0],>12.0,>1.0,1,f,>0.73,>32.0,(2.0-6.0],<=2.0,(6.0-9.0],0,4.89
Ted,NA,NA,NA,f,Chelsea,f,Manhattan,Entire rental unit,Entire home/apt,(2.0-3.0],NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,>32.0,>6.0,>2.0,>9.0,0,4.88
Sezer,NA,NA,NA,f,other,f,Brooklyn,Entire rental unit,Entire home/apt,>3.0,NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,5.0
Tyler,NA,NA,NA,f,Williamsburg,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,(16.0-32.0],>6.0,>2.0,(6.0-9.0],0,5.0
Rebecca,NA,NA,NA,f,Williamsburg,t,Brooklyn,Entire rental unit,Entire home/apt,(2.0-3.0],NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,(16.0-32.0],>6.0,>2.0,>9.0,0,4.5
Soli,within an hour,>99.0,>98.0,t,other,t,Manhattan,Entire condo,Entire home/apt,>3.0,<=1.0,>1.0,>2.0,>200.0,>12.0,>1.0,>1,f,>0.73,>32.0,<=2.0,<=2.0,<=6.0,0,4.82
Kenny,NA,NA,NA,f,Harlem,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,5.0
Anamaria,NA,NA,NA,f,other,f,Bronx,other,Entire home/apt,>3.0,NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,4.5
Sajad,NA,NA,NA,f,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,>1.0,NA,NA,>12.0,<=1.0,0,t,(0.15-0.73],(16.0-32.0],>6.0,>2.0,>9.0,0,4.89
Noel,NA,NA,NA,f,other,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],1,4.0
Chris,NA,NA,NA,f,other,f,Brooklyn,Entire rental unit,Entire home/apt,<=2.0,NA,<=1.0,NA,NA,>12.0,<=1.0,0,f,>0.73,>32.0,<=2.0,<=2.0,<=6.0,0,4.92
Bianca And Jordan,NA,NA,NA,f,Williamsburg,t,Brooklyn,Entire rental unit,Entire home/apt,>3.0,NA,<=1.0,NA,NA,>12.0,<=1.0,0,f,(0.15-0.73],(16.0-32.0],>6.0,>2.0,(6.0-9.0],0,4.61
Lenny & Lena,NA,NA,NA,f,Long Island City,f,Queens,Private room in townhouse,Private room,<=2.0,NA,NA,NA,NA,>12.0,<=1.0,0,f,(0.15-0.73],>32.0,(2.0-6.0],<=2.0,<=6.0,1,4.94
Justin,NA,NA,NA,f,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,>12.0,<=1.0,0,f,(0.15-0.73],(16.0-32.0],>6.0,>2.0,>9.0,1,4.68
Dawne,within an hour,>99.0,(78.0-98.0],t,Bushwick,t,Brooklyn,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,(1.0-2.0],(100.0-200.0],>12.0,>1.0,>1,t,>0.73,<=16.0,<=2.0,<=2.0,<=6.0,0,4.87
Tara,NA,NA,NA,f,Bedford-Stuyvesant,t,Brooklyn,Private room in home,Private room,<=2.0,NA,NA,NA,NA,<=1.0,<=1.0,0,f,<=0.15,(16.0-32.0],>6.0,>2.0,>9.0,0,5.0
Eric,NA,NA,NA,f,Bedford-Stuyvesant,t,Brooklyn,Entire rental unit,Entire home/apt,>3.0,NA,>1.0,NA,NA,>12.0,<=1.0,0,f,>0.73,(16.0-32.0],>6.0,>2.0,>9.0,0,4.84
Erika,within an hour,>99.0,>98.0,t,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,>12.0,<=1.0,0,t,(0.15-0.73],<=16.0,>6.0,<=2.0,>9.0,1,4.68
Awilda,NA,NA,NA,f,other,f,Brooklyn,Entire rental unit,Entire home/apt,<=2.0,NA,>1.0,NA,NA,>12.0,<=1.0,0,f,(0.15-0.73],(16.0-32.0],>6.0,>2.0,(6.0-9.0],0,4.89
Megan,within a few hours,>99.0,<=78.0,f,other,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,>12.0,>1.0,0,f,(0.15-0.73],(16.0-32.0],(2.0-6.0],<=2.0,>9.0,1,4.96
Mario,NA,NA,NA,f,other,t,Manhattan,Entire rental unit,Entire home/apt,(2.0-3.0],NA,NA,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,(2.0-6.0],>2.0,(6.0-9.0],0,5.0
Elizabeth,NA,NA,NA,f,other,t,Brooklyn,Entire rental unit,Entire home/apt,<=2.0,NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,t,(0.15-0.73],<=16.0,(2.0-6.0],<=2.0,>9.0,0,4.83
Judith,NA,NA,NA,f,Harlem,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,4.67
Mira,within an hour,<=99.0,>98.0,t,other,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,<=1.0,<=1.0,<=1.0,>200.0,>12.0,>1.0,1,t,>0.73,>32.0,<=2.0,<=2.0,>9.0,0,4.93
Bluebird,within an hour,<=99.0,(78.0-98.0],f,Hell's Kitchen,t,Manhattan,other,Entire home/apt,(2.0-3.0],NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,t,<=0.15,>32.0,(2.0-6.0],<=2.0,(6.0-9.0],0,5.0
Ronnie,NA,NA,NA,f,Bushwick,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,t,<=0.15,<=16.0,>6.0,>2.0,>9.0,1,4.43
Urban Furnished,within an hour,>99.0,(78.0-98.0],f,Chelsea,t,Manhattan,Entire rental unit,Entire home/apt,>3.0,<=1.0,>1.0,>2.0,>200.0,(1.0-12.0],>1.0,0,f,(0.15-0.73],>32.0,<=2.0,<=2.0,(6.0-9.0],0,5.0
Adam,NA,NA,NA,f,other,f,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,<=1.0,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],1,5.0
Justin,NA,NA,NA,f,Williamsburg,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,<=1.0,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],1,5.0
Melissa,NA,NA,NA,f,other,f,Brooklyn,other,Private room,<=2.0,NA,>1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,5.0
Alberto Fernando,within an hour,>99.0,>98.0,f,other,t,Manhattan,Entire rental unit,Entire home/apt,>3.0,<=1.0,<=1.0,>2.0,>200.0,>12.0,>1.0,0,t,>0.73,>32.0,<=2.0,<=2.0,<=6.0,0,4.67
Erik,NA,NA,NA,f,other,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,NA,<=1.0,NA,NA,>12.0,<=1.0,0,f,(0.15-0.73],(16.0-32.0],(2.0-6.0],<=2.0,>9.0,0,4.81
Fayth,within an hour,>99.0,(78.0-98.0],f,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,5.0
Claudia,NA,NA,NA,f,Upper East Side,t,Manhattan,Entire rental unit,Entire home/apt,>3.0,NA,>1.0,NA,NA,>12.0,<=1.0,0,f,<=0.15,>32.0,>6.0,>2.0,>9.0,0,4.77
Catherine,NA,NA,NA,f,Astoria,t,Queens,Entire rental unit,Entire home/apt,(2.0-3.0],NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,(16.0-32.0],>6.0,>2.0,>9.0,0,5.0
Axel,within an hour,<=99.0,(78.0-98.0],t,other,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,<=1.0,<=1.0,>2.0,>200.0,>12.0,>1.0,0,f,>0.73,>32.0,<=2.0,<=2.0,(6.0-9.0],0,4.78
Zdzislawa,NA,NA,NA,f,Greenpoint,t,Brooklyn,Private room in rental unit,Private room,>3.0,NA,>1.0,NA,NA,>12.0,<=1.0,0,f,(0.15-0.73],<=16.0,>6.0,>2.0,(6.0-9.0],0,4.63
Julien,within a few hours,>99.0,<=78.0,t,Astoria,t,Queens,Entire rental unit,Entire home/apt,>3.0,NA,>1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,>32.0,>6.0,>2.0,>9.0,0,5.0
T,within a few hours,>99.0,(78.0-98.0],t,Astoria,t,Queens,Private room in townhouse,Private room,<=2.0,NA,NA,NA,NA,>12.0,<=1.0,0,f,>0.73,(16.0-32.0],>6.0,<=2.0,(6.0-9.0],1,4.69
Vicky,within an hour,>99.0,(78.0-98.0],t,other,t,Manhattan,Private room in condo,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,(1.0-12.0],>1.0,0,f,(0.15-0.73],>32.0,<=2.0,<=2.0,(6.0-9.0],1,5.0
Hans,NA,NA,NA,f,Bushwick,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,>1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],1,4.75
Nathanael,NA,NA,NA,f,other,f,Manhattan,Entire rental unit,Entire home/apt,>3.0,NA,>1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,4.67
Mac,NA,NA,NA,f,Williamsburg,t,Brooklyn,other,Private room,<=2.0,NA,<=1.0,NA,NA,>12.0,<=1.0,0,t,>0.73,>32.0,>6.0,>2.0,>9.0,1,4.81
Fad,a few days or more,<=99.0,<=78.0,f,Hell's Kitchen,t,Manhattan,Entire rental unit,Entire home/apt,>3.0,>1.0,>1.0,(1.0-2.0],>200.0,<=1.0,<=1.0,0,f,<=0.15,(16.0-32.0],<=2.0,<=2.0,<=6.0,0,4.0
T,within a few hours,>99.0,(78.0-98.0],t,Astoria,t,Queens,Private room in townhouse,Private room,<=2.0,NA,NA,NA,NA,>12.0,<=1.0,0,f,>0.73,(16.0-32.0],>6.0,<=2.0,(6.0-9.0],1,4.63
Thomas,NA,NA,NA,f,Bedford-Stuyvesant,t,Brooklyn,Private room in home,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,4.6
Kevin,NA,NA,NA,f,other,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,NA,<=1.0,NA,NA,>12.0,<=1.0,0,f,(0.15-0.73],(16.0-32.0],>6.0,>2.0,(6.0-9.0],0,4.96
Tobias,NA,NA,NA,f,other,t,Manhattan,Entire rental unit,Entire home/apt,>3.0,NA,>1.0,NA,NA,<=1.0,<=1.0,0,f,<=0.15,(16.0-32.0],(2.0-6.0],>2.0,>9.0,0,5.0
Christina,NA,NA,NA,f,Greenpoint,t,Brooklyn,Entire condo,Entire home/apt,<=2.0,NA,<=1.0,NA,NA,>12.0,<=1.0,0,f,(0.15-0.73],(16.0-32.0],>6.0,>2.0,(6.0-9.0],0,4.92
Andrew,NA,NA,NA,f,other,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,5.0
T,within a few hours,>99.0,(78.0-98.0],t,Astoria,t,Queens,Private room in home,Private room,<=2.0,NA,NA,NA,NA,>12.0,<=1.0,0,f,>0.73,(16.0-32.0],>6.0,<=2.0,(6.0-9.0],0,4.49
T,within a few hours,>99.0,(78.0-98.0],t,Astoria,t,Queens,Private room in townhouse,Private room,<=2.0,NA,NA,NA,NA,>12.0,>1.0,0,f,>0.73,(16.0-32.0],>6.0,<=2.0,(6.0-9.0],0,4.56
Chi,NA,NA,NA,f,Upper East Side,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,<=1.0,NA,NA,>12.0,<=1.0,0,f,(0.15-0.73],>32.0,>6.0,>2.0,(6.0-9.0],1,4.89
RoomPicks By Antony,within an hour,<=99.0,(78.0-98.0],f,other,t,Manhattan,Room in hotel,Hotel room,>3.0,<=1.0,<=1.0,(1.0-2.0],(100.0-200.0],<=1.0,<=1.0,0,t,<=0.15,(16.0-32.0],<=2.0,<=2.0,>9.0,0,4.0
Urban Furnished,within an hour,>99.0,(78.0-98.0],f,Chelsea,t,Manhattan,Entire rental unit,Entire home/apt,>3.0,<=1.0,<=1.0,<=1.0,(100.0-200.0],(1.0-12.0],>1.0,0,f,(0.15-0.73],>32.0,<=2.0,<=2.0,(6.0-9.0],0,3.67
Alexes,NA,NA,NA,f,other,t,Bronx,Private room in home,Private room,(2.0-3.0],NA,<=1.0,NA,NA,<=1.0,<=1.0,0,f,<=0.15,(16.0-32.0],(2.0-6.0],>2.0,(6.0-9.0],1,1.0
Nicole,NA,NA,NA,f,Upper East Side,f,Manhattan,Entire rental unit,Entire home/apt,<=2.0,NA,<=1.0,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,5.0
Armando,NA,NA,NA,f,Upper East Side,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,<=1.0,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,5.0
Daniel,NA,NA,NA,f,other,f,Manhattan,Entire rental unit,Entire home/apt,(2.0-3.0],NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,5.0
Moe,within a few hours,>99.0,>98.0,f,Bushwick,t,Brooklyn,Entire rental unit,Entire home/apt,>3.0,NA,>1.0,NA,NA,>12.0,>1.0,0,f,(0.15-0.73],<=16.0,(2.0-6.0],<=2.0,(6.0-9.0],0,4.36
Nikki,NA,NA,NA,f,other,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,>12.0,<=1.0,0,f,(0.15-0.73],(16.0-32.0],>6.0,>2.0,(6.0-9.0],1,5.0
Juan,within an hour,>99.0,>98.0,t,Jamaica,t,Queens,Private room in home,Private room,<=2.0,NA,>1.0,NA,NA,>12.0,<=1.0,0,t,>0.73,>32.0,(2.0-6.0],<=2.0,(6.0-9.0],1,4.61
Chris,NA,NA,NA,f,Williamsburg,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,(16.0-32.0],>6.0,>2.0,(6.0-9.0],1,4.9
Atakan,a few days or more,<=99.0,>98.0,f,Hell's Kitchen,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,>32.0,(2.0-6.0],>2.0,<=6.0,1,4.5
Jeremy,within an hour,>99.0,(78.0-98.0],t,other,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,<=1.0,<=1.0,<=1.0,(100.0-200.0],(1.0-12.0],>1.0,0,t,(0.15-0.73],(16.0-32.0],(2.0-6.0],<=2.0,<=6.0,0,5.0
Jestina,NA,NA,NA,f,Flatbush,f,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,>12.0,<=1.0,0,f,>0.73,(16.0-32.0],(2.0-6.0],>2.0,(6.0-9.0],1,4.6
Jinha,within an hour,>99.0,(78.0-98.0],t,Park Slope,t,Brooklyn,Private room in townhouse,Private room,<=2.0,NA,NA,NA,NA,>12.0,>1.0,0,f,(0.15-0.73],>32.0,(2.0-6.0],<=2.0,>9.0,0,5.0
Yelle,NA,NA,NA,f,Bushwick,t,Brooklyn,Private room in rental unit,Private room,(2.0-3.0],NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,(16.0-32.0],(2.0-6.0],>2.0,>9.0,1,4.86
Leslie,NA,NA,NA,f,Bushwick,t,Brooklyn,Entire condo,Entire home/apt,(2.0-3.0],NA,<=1.0,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,(2.0-6.0],>2.0,(6.0-9.0],0,5.0
Paradise Suites,within an hour,<=99.0,<=78.0,t,Upper East Side,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,<=1.0,<=1.0,<=1.0,(100.0-200.0],(1.0-12.0],<=1.0,0,f,(0.15-0.73],>32.0,<=2.0,<=2.0,<=6.0,0,5.0
JT Urban,within an hour,<=99.0,<=78.0,f,Williamsburg,t,Brooklyn,Entire rental unit,Entire home/apt,>3.0,<=1.0,>1.0,>2.0,>200.0,<=1.0,<=1.0,0,f,(0.15-0.73],>32.0,<=2.0,<=2.0,(6.0-9.0],0,4.0
Waleed,NA,NA,NA,f,other,t,Staten Island,Private room in home,Private room,<=2.0,NA,NA,NA,NA,>12.0,<=1.0,0,f,>0.73,>32.0,(2.0-6.0],<=2.0,>9.0,0,4.85
RoomPicks,within an hour,<=99.0,(78.0-98.0],f,other,t,Manhattan,Room in hotel,Hotel room,>3.0,<=1.0,<=1.0,(1.0-2.0],>200.0,(1.0-12.0],>1.0,>1,t,>0.73,(16.0-32.0],<=2.0,<=2.0,<=6.0,0,5.0
Fifi,NA,NA,NA,f,Harlem,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,>12.0,<=1.0,0,f,>0.73,(16.0-32.0],>6.0,>2.0,>9.0,1,4.63
Stephano,within a day,<=99.0,>98.0,f,Bedford-Stuyvesant,t,Brooklyn,Entire townhouse,Entire home/apt,>3.0,>1.0,>1.0,>2.0,>200.0,>12.0,>1.0,0,f,>0.73,>32.0,<=2.0,<=2.0,>9.0,0,4.92
Dora,NA,NA,NA,f,other,t,Brooklyn,Entire rental unit,Entire home/apt,>3.0,NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,t,<=0.15,<=16.0,(2.0-6.0],>2.0,(6.0-9.0],0,4.89
Maka,NA,NA,NA,f,other,t,Manhattan,Entire rental unit,Entire home/apt,>3.0,NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,>32.0,(2.0-6.0],>2.0,<=6.0,0,5.0
Tracie,within an hour,>99.0,>98.0,f,Greenpoint,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,>12.0,<=1.0,0,f,(0.15-0.73],>32.0,(2.0-6.0],<=2.0,>9.0,1,4.86
Amanda,NA,NA,NA,f,Hell's Kitchen,f,Manhattan,Private room in rental unit,Private room,(2.0-3.0],NA,NA,NA,NA,<=1.0,<=1.0,0,f,<=0.15,(16.0-32.0],(2.0-6.0],>2.0,(6.0-9.0],1,4.0
Urban Furnished,within an hour,>99.0,(78.0-98.0],f,Chelsea,t,Manhattan,Entire rental unit,Entire home/apt,>3.0,<=1.0,>1.0,>2.0,>200.0,(1.0-12.0],<=1.0,0,f,<=0.15,>32.0,(2.0-6.0],>2.0,(6.0-9.0],0,5.0
Smyth Tribeca,NA,NA,>98.0,f,other,t,Manhattan,Room in hotel,Private room,>3.0,NA,<=1.0,NA,NA,<=1.0,<=1.0,0,t,<=0.15,<=16.0,(2.0-6.0],>2.0,<=6.0,0,4.0
Joe,within a few hours,>99.0,<=78.0,f,other,t,Manhattan,Entire rental unit,Entire home/apt,>3.0,>1.0,>1.0,>2.0,>200.0,(1.0-12.0],<=1.0,0,f,(0.15-0.73],>32.0,(2.0-6.0],<=2.0,>9.0,0,4.88
Yelle,NA,NA,NA,f,Bushwick,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,(16.0-32.0],(2.0-6.0],>2.0,>9.0,1,5.0
Miriam,NA,NA,NA,f,other,f,Manhattan,Entire rental unit,Entire home/apt,(2.0-3.0],NA,<=1.0,NA,NA,>12.0,<=1.0,0,f,>0.73,<=16.0,(2.0-6.0],>2.0,<=6.0,0,4.72
Ned,NA,NA,NA,f,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,>12.0,<=1.0,0,f,(0.15-0.73],(16.0-32.0],(2.0-6.0],>2.0,(6.0-9.0],0,4.85
Jose,NA,NA,NA,f,other,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,(16.0-32.0],(2.0-6.0],>2.0,<=6.0,0,4.33
Smyth Tribeca,NA,NA,>98.0,f,other,t,Manhattan,Room in hotel,Private room,<=2.0,NA,<=1.0,NA,NA,<=1.0,<=1.0,0,t,<=0.15,<=16.0,<=2.0,<=2.0,<=6.0,0,5.0
Colin And Madelaine,within a few hours,<=99.0,(78.0-98.0],f,other,t,Manhattan,Entire rental unit,Entire home/apt,>3.0,NA,<=1.0,NA,NA,(1.0-12.0],>1.0,0,f,(0.15-0.73],>32.0,(2.0-6.0],<=2.0,>9.0,0,5.0
Jeremy,within an hour,>99.0,(78.0-98.0],t,other,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,<=1.0,<=1.0,<=1.0,(100.0-200.0],(1.0-12.0],<=1.0,1,t,(0.15-0.73],(16.0-32.0],(2.0-6.0],<=2.0,<=6.0,0,5.0
Ro,NA,NA,NA,f,other,f,Manhattan,Private room in rental unit,Private room,<=2.0,NA,>1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,(16.0-32.0],(2.0-6.0],>2.0,(6.0-9.0],1,3.0
Joshua,NA,NA,NA,f,Harlem,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,NA,<=1.0,NA,NA,>12.0,<=1.0,0,f,(0.15-0.73],(16.0-32.0],(2.0-6.0],>2.0,<=6.0,0,4.82
